first_id|second_id|relationship
0|180|HAS_GENRE
0|179|HAS_GENRE
0|177|HAS_GENRE
5|121|DIRECTED
5|105|DIRECTED
5|10|DIRECTED
5|9|DIRECTED
5|0|DIRECTED
5|128|PRODUCED
5|116|PRODUCED
5|121|WRITER_OF
5|116|WRITER_OF
5|0|WRITER_OF
5|121|WRITER_OF
6|121|DIRECTED
6|105|DIRECTED
6|10|DIRECTED
6|9|DIRECTED
6|0|DIRECTED
6|128|PRODUCED
6|116|PRODUCED
6|121|WRITER_OF
6|116|WRITER_OF
6|9|WRITER_OF
6|10|WRITER_OF
6|116|WRITER_OF
7|128|PRODUCED
7|121|PRODUCED
7|116|PRODUCED
7|10|PRODUCED
7|9|PRODUCED
7|0|PRODUCED
9|177|HAS_GENRE
9|180|HAS_GENRE
10|179|HAS_GENRE
10|180|HAS_GENRE
10|177|HAS_GENRE
11|183|HAS_GENRE
11|182|HAS_GENRE
11|181|HAS_GENRE
14|11|DIRECTED
15|183|HAS_GENRE
15|182|HAS_GENRE
15|181|HAS_GENRE
15|184|HAS_GENRE
25|128|DIRECTED
25|116|DIRECTED
27|81|DIRECTED
27|46|DIRECTED
27|15|DIRECTED
27|81|PRODUCED
28|15|WRITER_OF
28|159|WRITER_OF
29|181|HAS_GENRE
29|180|HAS_GENRE
29|189|HAS_GENRE
35|29|DIRECTED
36|29|WRITER_OF
37|193|HAS_GENRE
37|189|HAS_GENRE
37|181|HAS_GENRE
37|188|HAS_GENRE
45|37|DIRECTED
45|37|PRODUCED
45|37|WRITER_OF
46|181|HAS_GENRE
46|179|HAS_GENRE
52|189|HAS_GENRE
52|181|HAS_GENRE
52|188|HAS_GENRE
55|52|DIRECTED
56|189|HAS_GENRE
56|190|HAS_GENRE
56|181|HAS_GENRE
59|92|DIRECTED
59|92|WRITER_OF
61|56|DIRECTED
62|183|HAS_GENRE
62|189|HAS_GENRE
62|182|HAS_GENRE
62|181|HAS_GENRE
66|62|DIRECTED
67|189|HAS_GENRE
67|181|HAS_GENRE
67|188|HAS_GENRE
71|85|DIRECTED
71|85|WRITER_OF
72|73|DIRECTED
72|67|DIRECTED
72|81|PRODUCED
72|81|WRITER_OF
73|189|HAS_GENRE
73|181|HAS_GENRE
73|188|HAS_GENRE
78|189|HAS_GENRE
78|188|HAS_GENRE
79|78|DIRECTED
79|78|WRITER_OF
81|189|HAS_GENRE
81|181|HAS_GENRE
81|188|HAS_GENRE
85|191|HAS_GENRE
85|181|HAS_GENRE
85|188|HAS_GENRE
87|193|HAS_GENRE
87|188|HAS_GENRE
91|87|DIRECTED
92|187|HAS_GENRE
92|181|HAS_GENRE
92|186|HAS_GENRE
92|179|HAS_GENRE
95|188|HAS_GENRE
96|159|DIRECTED
96|95|DIRECTED
97|194|HAS_GENRE
99|97|DIRECTED
100|177|HAS_GENRE
100|180|HAS_GENRE
104|100|DIRECTED
105|177|HAS_GENRE
105|181|HAS_GENRE
105|179|HAS_GENRE
108|105|DIRECTED
109|105|WRITER_OF
110|105|PRODUCED
111|183|HAS_GENRE
111|182|HAS_GENRE
115|144|DIRECTED
115|137|DIRECTED
115|111|DIRECTED
116|183|HAS_GENRE
116|177|HAS_GENRE
116|180|HAS_GENRE
121|193|HAS_GENRE
121|192|HAS_GENRE
121|180|HAS_GENRE
128|183|HAS_GENRE
128|184|HAS_GENRE
128|180|HAS_GENRE
130|182|HAS_GENRE
130|190|HAS_GENRE
130|181|HAS_GENRE
130|184|HAS_GENRE
136|130|DIRECTED
137|185|HAS_GENRE
137|181|HAS_GENRE
141|181|HAS_GENRE
141|184|HAS_GENRE
141|186|HAS_GENRE
142|141|DIRECTED
144|185|HAS_GENRE
144|181|HAS_GENRE
144|179|HAS_GENRE
147|183|HAS_GENRE
147|181|HAS_GENRE
147|179|HAS_GENRE
147|180|HAS_GENRE
149|147|DIRECTED
150|181|HAS_GENRE
150|179|HAS_GENRE
151|415121|DIRECTED
151|161|DIRECTED
151|150|DIRECTED
151|161|WRITER_OF
152|181|HAS_GENRE
153|152|DIRECTED
154|189|HAS_GENRE
154|188|HAS_GENRE
156|154|DIRECTED
156|154|PRODUCED
156|154|WRITER_OF
157|177|HAS_GENRE
157|189|HAS_GENRE
157|190|HAS_GENRE
157|181|HAS_GENRE
158|157|DIRECTED
159|185|HAS_GENRE
159|181|HAS_GENRE
159|188|HAS_GENRE
159|186|HAS_GENRE
161|190|HAS_GENRE
161|192|HAS_GENRE
161|179|HAS_GENRE
161|195|HAS_GENRE
162|193|HAS_GENRE
162|181|HAS_GENRE
162|188|HAS_GENRE
166|162|DIRECTED
168|87|REVIEWED
169|37|REVIEWED
169|111|REVIEWED
169|95|REVIEWED
169|97|REVIEWED
169|87|REVIEWED
169|105|REVIEWED
170|111|REVIEWED
170|87|REVIEWED
178|177|HAS_GENRE
69131|150|WRITER_OF
69132|137|WRITER_OF
69133|415687|WRITER_OF
69133|128|WRITER_OF
69134|95|WRITER_OF
69135|62|WRITER_OF
69136|11|WRITER_OF
69137|56|WRITER_OF
69138|130|WRITER_OF
69138|46|WRITER_OF
69139|100|WRITER_OF
69140|73|WRITER_OF
69141|67|WRITER_OF
69142|157|WRITER_OF
69143|97|WRITER_OF
69144|52|WRITER_OF
69145|147|WRITER_OF
69146|87|WRITER_OF
69147|141|WRITER_OF
69148|162|WRITER_OF
69149|111|WRITER_OF
69150|152|WRITER_OF
277220|144|WRITER_OF
345845|177|HAS_GENRE
345845|179|HAS_GENRE
345845|180|HAS_GENRE
345849|345845|DIRECTED
345850|345845|WRITER_OF
414786|177|HAS_GENRE
414786|179|HAS_GENRE
414786|180|HAS_GENRE
414797|414927|DIRECTED
414797|414786|DIRECTED
414797|414927|PRODUCED
414798|415628|PRODUCED
414798|414927|PRODUCED
414798|414927|WRITER_OF
414798|414786|WRITER_OF
414798|414786|WRITER_OF
414799|415628|PRODUCED
414799|414927|PRODUCED
414799|414927|WRITER_OF
414927|177|HAS_GENRE
414927|179|HAS_GENRE
414927|180|HAS_GENRE
414932|414927|PRODUCED
414932|415598|WRITER_OF
414932|414927|WRITER_OF
414934|190|HAS_GENRE
414934|179|HAS_GENRE
414934|180|HAS_GENRE
414951|414970|DIRECTED
414951|414934|DIRECTED
414951|414970|PRODUCED
414951|414934|PRODUCED
414951|414970|WRITER_OF
414951|414934|WRITER_OF
414952|414970|WRITER_OF
414952|414934|WRITER_OF
414970|190|HAS_GENRE
414970|179|HAS_GENRE
415121|189|HAS_GENRE
415121|181|HAS_GENRE
415121|188|HAS_GENRE
415126|415121|WRITER_OF
415167|177|HAS_GENRE
415167|190|HAS_GENRE
415167|179|HAS_GENRE
415167|180|HAS_GENRE
415185|415167|DIRECTED
415186|415167|PRODUCED
415186|415167|WRITER_OF
415187|415167|WRITER_OF
415187|415167|WRITER_OF
415190|183|HAS_GENRE
415190|177|HAS_GENRE
415190|190|HAS_GENRE
415190|179|HAS_GENRE
415190|180|HAS_GENRE
415198|415218|DIRECTED
415198|415190|DIRECTED
415198|416252|PRODUCED
415198|415236|PRODUCED
415198|415218|PRODUCED
415207|416252|PRODUCED
415207|415687|PRODUCED
415207|415662|PRODUCED
415207|415236|PRODUCED
415207|415218|PRODUCED
415207|415190|PRODUCED
415218|183|HAS_GENRE
415218|177|HAS_GENRE
415218|190|HAS_GENRE
415218|179|HAS_GENRE
415218|180|HAS_GENRE
415232|415218|WRITER_OF
415236|177|HAS_GENRE
415236|179|HAS_GENRE
415236|180|HAS_GENRE
415250|415236|DIRECTED
415250|415236|WRITER_OF
415251|415236|PRODUCED
415566|415190|WRITER_OF
415567|183|HAS_GENRE
415567|177|HAS_GENRE
415567|179|HAS_GENRE
415582|415567|DIRECTED
415582|415567|WRITER_OF
415591|183|HAS_GENRE
415591|177|HAS_GENRE
415591|179|HAS_GENRE
415591|180|HAS_GENRE
415598|183|HAS_GENRE
415598|177|HAS_GENRE
415598|415608|HAS_GENRE
415598|181|HAS_GENRE
415598|180|HAS_GENRE
415599|416492|PRODUCED
415599|415598|PRODUCED
415606|415598|DIRECTED
415607|415598|WRITER_OF
415611|183|HAS_GENRE
415611|184|HAS_GENRE
415611|180|HAS_GENRE
415613|415611|PRODUCED
415627|416376|PRODUCED
415627|415611|PRODUCED
415628|183|HAS_GENRE
415628|184|HAS_GENRE
415639|415628|DIRECTED
415639|416320|PRODUCED
415643|188|HAS_GENRE
415643|180|HAS_GENRE
415644|416376|PRODUCED
415644|416376|WRITER_OF
415649|415643|DIRECTED
415649|415643|PRODUCED
