first_id|second_id|relationship
5|121|DIRECTED
5|105|DIRECTED
5|10|DIRECTED
5|9|DIRECTED
5|0|DIRECTED
6|121|DIRECTED
6|105|DIRECTED
6|10|DIRECTED
6|9|DIRECTED
6|0|DIRECTED
14|11|DIRECTED
25|128|DIRECTED
25|116|DIRECTED
27|81|DIRECTED
27|46|DIRECTED
27|15|DIRECTED
35|29|DIRECTED
45|37|DIRECTED
55|52|DIRECTED
59|92|DIRECTED
61|56|DIRECTED
66|62|DIRECTED
71|85|DIRECTED
72|73|DIRECTED
72|67|DIRECTED
79|78|DIRECTED
91|87|DIRECTED
96|159|DIRECTED
96|95|DIRECTED
99|97|DIRECTED
104|100|DIRECTED
108|105|DIRECTED
115|144|DIRECTED
115|137|DIRECTED
115|111|DIRECTED
136|130|DIRECTED
142|141|DIRECTED
149|147|DIRECTED
151|415121|DIRECTED
151|161|DIRECTED
151|150|DIRECTED
153|152|DIRECTED
156|154|DIRECTED
158|157|DIRECTED
166|162|DIRECTED
345849|345845|DIRECTED
414797|414927|DIRECTED
414797|414786|DIRECTED
414951|414970|DIRECTED
414951|414934|DIRECTED
415185|415167|DIRECTED
415198|415218|DIRECTED
415198|415190|DIRECTED
415250|415236|DIRECTED
415582|415567|DIRECTED
415606|415598|DIRECTED
415639|415628|DIRECTED
415649|415643|DIRECTED
415691|415687|DIRECTED
415821|415591|DIRECTED
416067|415662|DIRECTED
416094|415611|DIRECTED
416148|416138|DIRECTED
416178|416164|DIRECTED
416262|416252|DIRECTED
416330|416320|DIRECTED
416384|416376|DIRECTED
416385|416376|DIRECTED
416497|416492|DIRECTED
416520|416512|DIRECTED
416608|416598|DIRECTED
