first_id|second_id|relationship
5|128|PRODUCED
5|116|PRODUCED
6|128|PRODUCED
6|116|PRODUCED
7|128|PRODUCED
7|121|PRODUCED
7|116|PRODUCED
7|10|PRODUCED
7|9|PRODUCED
7|0|PRODUCED
27|81|PRODUCED
45|37|PRODUCED
72|81|PRODUCED
110|105|PRODUCED
156|154|PRODUCED
414797|414927|PRODUCED
414798|415628|PRODUCED
414798|414927|PRODUCED
414799|415628|PRODUCED
414799|414927|PRODUCED
414932|414927|PRODUCED
414951|414970|PRODUCED
414951|414934|PRODUCED
415186|415167|PRODUCED
415198|416252|PRODUCED
415198|415236|PRODUCED
415198|415218|PRODUCED
415207|416252|PRODUCED
415207|415687|PRODUCED
415207|415662|PRODUCED
415207|415236|PRODUCED
415207|415218|PRODUCED
415207|415190|PRODUCED
415251|415236|PRODUCED
415599|416492|PRODUCED
415599|415598|PRODUCED
415613|415611|PRODUCED
415627|416376|PRODUCED
415627|415611|PRODUCED
415639|416320|PRODUCED
415644|416376|PRODUCED
415649|415643|PRODUCED
415650|415643|PRODUCED
415660|416376|PRODUCED
416148|416138|PRODUCED
416149|416138|PRODUCED
416386|416376|PRODUCED
